no;y;x
441;269;33.57
442;269;33.57
443;321;33.71
444;315;33.71
445;296;33.71
446;304;33.71
447;314;33.86
448;326;33.86
449;295;33.86
450;292;34.14
451;301;34.14
452;319;34.29
453;288;34.29
454;291;34.29
455;297;34.29
456;285;34.43
457;311;34.43
458;304;34.43
459;317;34.43
460;307;34.43
461;300;34.43
462;286;34.43
463;326;34.43
464;296;34.57
465;303;34.57
466;301;34.71
467;318;34.71
468;289;34.71
469;286;35
470;312;35
471;313;35.14
472;305;35.14
473;333;35.14
474;302;35.14
475;313;35.14
476;326;35.29
477;303;35.29
478;330;35.29
479;344;35.29
480;311;35.43
481;303;35.57
482;319;35.57
483;328;35.71
484;311;35.71
485;332;35.86
486;270;35.86
487;339;35.86
488;312;35.86
489;315;36
490;320;36
491;305;36
492;316;36
493;302;36
494;332;36
495;311;36.14
496;311;36.14
497;320;36.14
498;299;36.29
499;337;36.29
500;327;36.43
501;351;36.43
502;306;36.43
503;352;36.43
504;326;36.43
505;334;36.57
506;362;36.57
507;333;36.57
508;313;36.57
509;319;36.71
510;321;36.86
511;283;36.86
512;350;37
513;335;37
514;336;37
515;329;37.14
516;324;37.14
517;356;37.29
518;321;37.29
519;326;37.29
520;329;37.43
521;312;37.57
522;312;37.71
523;283;37.71
524;389;37.71
525;341;37.86
526;337;37.86
527;319;37.86
528;314;38
529;322;38.14
530;343;38.14
531;315;38.29
532;345;38.29
533;312;38.29
534;359;38.29
535;326;38.43
536;357;38.43
537;341;38.43
538;356;38.57
539;335;38.57
540;351;38.57
541;322;38.57
542;302;38.71
543;336;38.71
544;362;38.71
545;342;38.86
546;340;38.86
547;344;38.86
548;336;39
549;348;39
550;352;39
551;342;39
552;325;39.14
553;329;39.14
554;323;39.14
555;370;39.29
556;394;39.29
557;314;39.57
558;355;39.71
559;379;39.71
560;404;39.86
561;331;39.86
562;338;40
563;380;40.14
564;345;40.14
565;392;40.29
566;377;40.29
567;352;40.43
568;358;40.43
569;382;40.71
570;391;40.71
571;357;40.71
572;334;40.86
573;356;40.86
574;387;40.86
575;363;40.86
576;377;40.86
577;378;41
578;387;41
579;363;41.14
580;383;41.14
581;367;41.14
582;372;41.14
583;359;41.14
584;347;41.29
585;368;41.43
586;371;41.57
587;383;41.57
588;359;41.71
589;378;41.71
590;355;41.71
591;370;41.86
592;293;41.86
593;347;41.86
594;356;41.86
595;351;41.86
596;344;42
597;379;42
598;360;42
599;355;42
600;373;42
601;352;42
602;350;42
603;353;42
604;378;42.14
605;373;42.14
606;343;42.14
607;390;42.14
608;384;42.14
609;351;42.29
610;342;42.43
